licenceid,licence
1,B-MF 24
2,B-BY 50
3,B-YT 16
4,B-JM 119
5,B-PI 21
6,B-ZL 134
7,B-IG 12
8,B-EP 28
9,B-FT 29
10,B-YF 124
11,B-CK 4
12,B-QB 34
13,B-LC 94
14,B-EP 28
15,B-ZL 134
16,B-DB 20
17,B-IY 73
18,B-ZT 30
19,B-KH 14
20,B-MD 101
21,B-FT 29
22,B-ZL 78
23,B-EU 89
24,B-RN 92
25,B-ZN 7
26,B-UN 79
27,B-TD 126
28,B-MD 101
29,B-LZ 31
30,B-IQ 116
31,B-PI 21
32,B-MG 65
33,B-QW 58
34,B-KM 90
35,B-WE 91
36,B-OU 2
37,B-UM 3
38,B-QB 34
39,B-FF 56
40,B-ZE 32
41,B-[Y 107
42,B-OU 48
43,B-EF 1
44,B-WE 83
45,B-MU 41
46,B-WV 137
47,B-DJ 8
48,B-WE 91
49,B-DJ 8
50,B-MF 24
51,B-ZN 7
52,B-NU 11
53,B-SU 136
54,B-IX 74
55,B-OG 64
56,B-NU 11
57,B-[J 127
58,B-JP 138
59,B-HW 80
60,B-OD 141
61,B-YR 120
62,B-HQ 81
63,B-PL 128
64,B-FT 29
65,B-CW 75
66,B-OC 43
67,B-FF 114
68,B-ZL 78
69,B-PL 128
70,B-WZ 19
71,B-BP 125
72,B-ME 105
73,B-MG 65
74,B-QB 34
75,B-WC 47
76,B-XQ 85
77,B-KI 60
78,B-OU 2
79,B-YR 120
80,B-WV 137
81,B-FF 114
82,B-WI 104
83,B-OU 2
84,B-DJ 8
85,B-KF 100
86,B-ZY 6
87,B-XC 106
88,B-ZY 6
89,B-XD 67
90,B-HW 80
91,B-RJ 63
92,B-IS 121
93,B-JM 76
94,B-DD 10
95,B-UN 79
96,B-ZY 6
97,B-ZY 6
98,B-EM 62
99,B-WI 104
100,B-WH 37
