periodid,period
1,"[2020-06-01 16:22:05.582678+02, 2020-06-02 04:15:31.671994+02]"
2,"[2020-06-02 17:15:09.085295+02, 2020-06-02 19:04:26.119882+02]"
3,"[2020-06-01 00:00:07.969134+02, 2020-06-01 14:56:50.846603+02]"
4,"[2020-06-03 21:27:43.364848+02, 2020-06-05 21:00:01.311949+02]"
5,"[2020-06-01 16:52:24.292322+02, 2020-06-02 17:01:28.733421+02]"
6,"[2020-06-01 09:07:48.255855+02, 2020-06-02 05:57:36.144915+02]"
7,"[2020-06-04 22:22:19.668672+02, 2020-06-04 22:24:55.092341+02]"
8,"[2020-06-03 10:01:11.421063+02, 2020-06-04 20:33:04.172466+02]"
9,"[2020-06-01 05:13:10.82024+02, 2020-06-02 21:34:07.854029+02]"
10,"[2020-06-01 00:54:52.973368+02, 2020-06-01 07:43:18.218907+02]"
11,"[2020-06-03 12:09:37.885716+02, 2020-06-03 18:00:01.86282+02]"
12,"[2020-06-01 15:14:08.683251+02, 2020-06-02 10:11:06.511861+02]"
13,"[2020-06-04 08:17:32.185886+02, 2020-06-05 12:30:48.512241+02]"
14,"[2020-06-04 06:01:50.980746+02, 2020-06-04 20:45:43.129721+02]"
15,"[2020-06-03 22:38:58.175392+02, 2020-06-04 07:11:10.173748+02]"
16,"[2020-06-02 17:22:59.363343+02, 2020-06-02 19:23:01.462715+02]"
17,"[2020-06-01 01:59:15.967677+02, 2020-06-01 04:12:15.853773+02]"
18,"[2020-06-03 07:38:22.93281+02, 2020-06-03 11:53:51.18605+02]"
19,"[2020-06-02 12:42:43.417378+02, 2020-06-04 09:29:43.220188+02]"
20,"[2020-06-01 03:13:37.453954+02, 2020-06-02 20:32:29.248517+02]"
21,"[2020-06-03 00:09:59.768704+02, 2020-06-03 20:06:09.066073+02]"
22,"[2020-06-02 16:24:46.06432+02, 2020-06-02 23:43:38.991886+02]"
23,"[2020-06-04 13:00:36.251926+02, 2020-06-04 19:18:18.054758+02]"
24,"[2020-06-02 13:03:59.360118+02, 2020-06-02 15:13:19.173873+02]"
25,"[2020-06-04 16:32:00.93247+02, 2020-06-04 17:44:35.85164+02]"
26,"[2020-06-04 06:23:01.437859+02, 2020-06-05 02:38:26.375588+02]"
27,"[2020-06-04 08:11:40.524508+02, 2020-06-05 07:20:53.692521+02]"
28,"[2020-06-01 02:03:50.406016+02, 2020-06-01 05:53:48.704852+02]"
29,"[2020-06-02 00:42:05.097125+02, 2020-06-02 23:15:51.842667+02]"
30,"[2020-06-01 18:44:26.438928+02, 2020-06-02 02:32:49.440503+02]"
31,"[2020-06-04 07:49:15.636712+02, 2020-06-04 20:33:15.127228+02]"
32,"[2020-06-02 07:09:03.387935+02, 2020-06-02 14:38:23.727871+02]"
33,"[2020-06-04 20:58:40.86382+02, 2020-06-05 14:11:50.238987+02]"
34,"[2020-06-01 22:48:32.100376+02, 2020-06-02 09:52:07.113208+02]"
35,"[2020-06-04 12:16:58.286546+02, 2020-06-05 18:50:21.241567+02]"
36,"[2020-06-02 12:58:17.32439+02, 2020-06-03 23:17:36.154968+02]"
37,"[2020-06-01 21:10:40.017557+02, 2020-06-02 06:34:23.615534+02]"
38,"[2020-06-02 20:50:31.497059+02, 2020-06-05 00:48:42.188374+02]"
39,"[2020-06-03 02:09:06.87443+02, 2020-06-04 10:42:17.478334+02]"
40,"[2020-06-02 00:15:12.417788+02, 2020-06-02 02:40:20.63499+02]"
41,"[2020-06-03 02:55:38.243353+02, 2020-06-03 14:37:12.733115+02]"
42,"[2020-06-01 18:42:54.150127+02, 2020-06-02 21:08:29.338328+02]"
43,"[2020-06-02 19:39:38.170567+02, 2020-06-03 10:33:59.547477+02]"
44,"[2020-06-02 22:03:59.849575+02, 2020-06-03 14:26:13.980392+02]"
45,"[2020-06-01 23:56:34.917523+02, 2020-06-03 14:22:04.016755+02]"
46,"[2020-06-04 13:56:44.007603+02, 2020-06-04 17:46:08.903863+02]"
47,"[2020-06-02 05:15:52.734485+02, 2020-06-02 22:56:55.455569+02]"
48,"[2020-06-01 05:58:44.944983+02, 2020-06-02 15:05:02.998673+02]"
49,"[2020-06-01 08:39:17.608754+02, 2020-06-02 14:49:44.085287+02]"
50,"[2020-06-01 17:50:25.031+02, 2020-06-01 23:51:59.213961+02]"
51,"[2020-06-03 07:33:00.230585+02, 2020-06-04 15:18:27.905581+02]"
52,"[2020-06-01 11:16:38.737871+02, 2020-06-02 11:19:53.971283+02]"
53,"[2020-06-03 23:38:20.774046+02, 2020-06-06 14:27:07.072091+02]"
