pointid,geom
1,POINT(472288.32404409075 6598955.3536008205)
2,POINT(485421.33002601983 6595656.655677019)
3,POINT(477564.1220671037 6588615.0486065345)
4,POINT(486819.313587249 6606262.7404729985)
5,POINT(486784.092100362 6603149.430840743)
6,POINT(494388.8274541591 6595574.888480721)
7,POINT(486005.7350887863 6593092.247213228)
8,POINT(490797.92784794606 6594362.794402137)
9,POINT(476763.1226711006 6580727.105319336)
10,POINT(488327.58136800706 6592472.0565001555)
11,POINT(485213.385217218 6603202.274533596)
12,POINT(475668.6962293156 6600991.530991405)
13,POINT(486467.4104129533 6604707.9506861195)
14,POINT(485191.9673471893 6594383.122918841)
15,POINT(490340.8388867997 6587740.998979113)
16,POINT(480743.70728678466 6596188.34743634)
17,POINT(488069.37580911204 6598928.116243578)
18,POINT(482409.8038415895 6600987.737279792)
19,POINT(479266.58669955056 6587002.360947727)
20,POINT(492188.61998252815 6586964.118460754)
21,POINT(471042.3472475398 6587352.276505553)
22,POINT(483209.4006120084 6590760.168777742)
23,POINT(471566.2612990092 6599769.005411474)
24,POINT(475366.9981453677 6589081.779659726)
25,POINT(482873.8947987065 6591293.676663365)
26,POINT(498920.5326048625 6583846.9757294785)
27,POINT(472714.688825778 6583816.301888444)
28,POINT(487171.4950602717 6588699.512808007)
29,POINT(495114.88656896004 6589828.516309205)
30,POINT(496382.93802053534 6596708.204547805)
31,POINT(472047.4620618614 6602407.237006391)
32,POINT(470154.76355159783 6586383.157495013)
33,POINT(478455.6242091215 6598638.548493942)
34,POINT(496118.87705642456 6605014.82120193)
35,POINT(480132.80818520923 6602206.067481444)
36,POINT(495671.84024529695 6600262.817589246)
37,POINT(491290.29395572457 6599464.53591192)
38,POINT(477892.124946726 6604412.4951487295)
39,POINT(484809.3622573329 6593125.846692416)
40,POINT(485356.0188807714 6593502.871874817)
41,POINT(488286.0925937884 6599096.763506874)
42,POINT(496370.10288324684 6597070.296912185)
43,POINT(498917.1818881897 6603292.36022281)
44,POINT(485980.8663145432 6595854.014743477)
45,POINT(489918.6485860172 6592588.888444043)
46,POINT(499637.1295629461 6596721.449182641)
47,POINT(477468.1201382434 6590816.36946799)
48,POINT(499130.4143728041 6600684.122511495)
49,POINT(476321.44032748014 6601712.2444410855)
50,POINT(477861.0222809983 6591981.743547052)
51,POINT(470819.530154768 6603292.660274758)
52,POINT(484270.5981857916 6605365.2215687055)
53,POINT(478038.8440355915 6605154.110973328)
54,POINT(481207.0412713644 6603557.610419303)
55,POINT(498144.3463233574 6605511.614538704)
56,POINT(493036.77431483124 6603547.567186334)
57,POINT(479062.3710936903 6591030.848505861)
58,POINT(474788.01434180286 6588136.328801433)
59,POINT(472928.97884555516 6595575.329319583)
60,POINT(488093.13138844736 6598171.133749851)
61,POINT(487139.8803248864 6600047.091996454)
62,POINT(484431.4548499879 6600576.879851658)
63,POINT(485043.8456327399 6595236.5780725125)
64,POINT(489305.2670597971 6589502.371239674)
65,POINT(484520.7108177059 6592757.529150424)
66,POINT(497560.4088024521 6579857.694383519)
67,POINT(487513.83589030826 6597926.87081454)
68,POINT(483413.2488635491 6588308.225682797)
69,POINT(488661.27267360897 6591365.073330278)
70,POINT(483056.1693329316 6596664.502694972)
71,POINT(491034.8379882522 6585584.794992084)
72,POINT(475846.54024780705 6585383.772304282)
73,POINT(488292.2819574765 6583175.487743207)
74,POINT(488036.8927816986 6593401.593248592)
75,POINT(500249.55374154524 6599167.345883156)
76,POINT(492643.23765097884 6601540.508341667)
77,POINT(479270.2379788486 6587404.648856554)
78,POINT(479105.02872256225 6596175.950132492)
79,POINT(497077.4269277474 6594505.941374747)
80,POINT(498632.9387003981 6603075.354933428)
81,POINT(496793.6958096134 6596597.768756016)
82,POINT(475777.789330293 6588797.808805727)
83,POINT(486969.45018448186 6599311.246896206)
84,POINT(479677.5337317629 6584901.559778339)
85,POINT(493825.1500805783 6594448.48129175)
86,POINT(488077.36854855105 6596759.013975384)
87,POINT(477002.1812775791 6589826.29603325)
88,POINT(476060.8191356349 6584853.729273524)
89,POINT(481183.5417268579 6591589.701049651)
90,POINT(472522.58478051616 6581831.179708862)
91,POINT(485575.4518610232 6592356.812614461)
92,POINT(485878.7752095366 6597627.14357898)
93,POINT(492176.2746509992 6587313.768154682)
94,POINT(496613.3916303755 6596635.385891268)
95,POINT(498687.0399729236 6595700.5814140225)
96,POINT(488351.83788505086 6592473.16699513)
97,POINT(495847.58032541233 6602945.595744128)
98,POINT(488333.24753008847 6591267.9803597145)
99,POINT(496657.0066068683 6602154.536120504)
100,POINT(498039.3497796411 6578182.42398841)
