regionid,geom
1,"POLYGON((4.412249308797437 50.8714669,4.412201722097738 50.87089388675101,4.412059483368486 50.87032714462606,4.41182415100696 50.869772883311434,4.411498303363762 50.86923717596179,4.411085510493858 50.86872589263735,4.410590295042312 50.868244635957936,4.410018082693243 50.86779867968054,4.409375142724891 50.867392910874834,4.408668519322092 50.86703177633228,4.407905954398718 50.86671923379792,4.407095802775646 50.866458708561275,4.406246940643594 50.866253055884115,4.405368668313716 50.86610452967862,4.40447060832145 50.86601475778076,4.403562600000001 50.86598472409122,4.402654591678551 50.86601475778076,4.401756531686283 50.86610452967862,4.400878259356406 50.866253055884115,4.400029397224354 50.866458708561275,4.399219245601282 50.86671923379792,4.398456680677908 50.86703177633228,4.397750057275109 50.867392910874834,4.397107117306757 50.86779867968054,4.396534904957688 50.868244635957936,4.396039689506143 50.86872589263735,4.395626896636239 50.86923717596179,4.39530104899304 50.869772883311434,4.395065716631515 50.87032714462606,4.394923477902262 50.87089388675101,4.394875891202565 50.8714669,4.394923477902262 50.87203990620464,4.395065716631515 50.87260662750442,4.39530104899304 50.873160855123196,4.395626896636239 50.87369651737897,4.396039689506143 50.87420774618237,4.396534904957688 50.8746889412964,4.397107117306757 50.87513483165477,4.397750057275109 50.875540533068765,4.398456680677908 50.87590160169227,4.399219245601282 50.876214082661235,4.400029397224354 50.87647455337686,4.400878259356406 50.87668016096016,4.401756531686283 50.8768286534698,4.402654591678551 50.87691840454249,4.403562600000001 50.876948431187664,4.40447060832145 50.87691840454249,4.405368668313716 50.8768286534698,4.406246940643594 50.87668016096016,4.407095802775646 50.87647455337686,4.407905954398718 50.876214082661235,4.408668519322092 50.87590160169227,4.409375142724891 50.875540533068765,4.410018082693243 50.87513483165477,4.410590295042312 50.8746889412964,4.411085510493858 50.87420774618237,4.411498303363762 50.87369651737897,4.41182415100696 50.873160855123196,4.412059483368486 50.87260662750442,4.412201722097738 50.87203990620464,4.412249308797437 50.8714669))"
2,"POLYGON((4.474579475460425 50.84409819999998,4.474276105372081 50.84288873606425,4.473395691085001 50.841797635986204,4.472024413683809 50.84093171590236,4.470296503354788 50.84037575251492,4.4683811 50.84018417905292,4.466465696645213 50.84037575251492,4.464737786316191 50.84093171590236,4.463366508915 50.841797635986204,4.46248609462792 50.84288873606425,4.462182724539575 50.84409819999998,4.46248609462792 50.845307632583534,4.463366508915 50.84639865058048,4.464737786316191 50.84726446920651,4.466465696645213 50.84782035051283,4.4683811 50.84801189262265,4.470296503354788 50.84782035051283,4.472024413683809 50.84726446920651,4.473395691085001 50.84639865058048,4.474276105372081 50.845307632583534,4.474579475460425 50.84409819999998))"
3,"POLYGON((4.317979802288686 50.85813589999999,4.317975865545138 50.85806632038192,4.317964075375241 50.857997095222615,4.317944491858994 50.857928577279964,4.317917214789509 50.857861115709575,4.317882383164481 50.85779505428549,4.317840174477884 50.85773072964824,4.317790803815512 50.85766846958927,4.317734522758942 50.857608591380455,4.31767161810354 50.85755140015718,4.317602410397008 50.8574971873632,4.317527252305957 50.857446229265356,4.31744652681879 50.85739878554549,4.317360645294085 50.85735509797702,4.317270045364408 50.857315389192614,4.317175188706231 50.857279861549564,4.317076558687344 50.85724869609832,4.316974657903713 50.85722205165977,4.316870005618373 50.85720006401573,4.316763135115384 50.857182845216826,4.31665459098233 50.857170483011465,4.316544926335235 50.85716304039847,4.3164347 50.85716055530605,4.316324473664766 50.85716304039847,4.31621480901767 50.857170483011465,4.316106264884616 50.857182845216826,4.315999394381628 50.85720006401573,4.315894742096288 50.85722205165977,4.315792841312657 50.85724869609832,4.315694211293769 50.857279861549564,4.315599354635593 50.857315389192614,4.315508754705916 50.85735509797702,4.315422873181211 50.85739878554549,4.315342147694044 50.857446229265356,4.315266989602993 50.8574971873632,4.315197781896461 50.85755140015718,4.315134877241058 50.857608591380455,4.315078596184489 50.85766846958927,4.315029225522116 50.85773072964824,4.314987016835519 50.85779505428549,4.314952185210491 50.857861115709575,4.314924908141006 50.857928577279964,4.31490532462476 50.857997095222615,4.314893534454861 50.85806632038192,4.314889597711314 50.85813589999999,4.314893534454861 50.858205479514254,4.31490532462476 50.85827470436422,4.314924908141006 50.85834322179831,4.314952185210491 50.85841068267124,4.314987016835519 50.85847674322321,4.315029225522116 50.85854106683143,4.315078596184489 50.858603325725404,4.315134877241058 50.85866320265695,4.315197781896461 50.8587203925167,4.315266989602993 50.858774603888655,4.315342147694044 50.85882556053493,4.315422873181211 50.85887300280322,4.315508754705916 50.85891668894966,4.315599354635593 50.85895639637055,4.315694211293769 50.85899192273634,4.315792841312657 50.85902308702257,4.315894742096288 50.85904973043208,4.315999394381628 50.85907171720402,4.316106264884616 50.859088935305465,4.31621480901767 50.85910129700227,4.316324473664766 50.85910873930593,4.3164347 50.85911122429452,4.316544926335235 50.85910873930593,4.31665459098233 50.85910129700227,4.316763135115384 50.859088935305465,4.316870005618373 50.85907171720402,4.316974657903713 50.85904973043208,4.317076558687344 50.85902308702257,4.317175188706231 50.85899192273634,4.317270045364408 50.85895639637055,4.317360645294085 50.85891668894966,4.31744652681879 50.85887300280322,4.317527252305957 50.85882556053493,4.317602410397008 50.858774603888655,4.31767161810354 50.8587203925167,4.317734522758942 50.85866320265695,4.317790803815512 50.858603325725404,4.317840174477884 50.85854106683143,4.317882383164481 50.85847674322321,4.317917214789509 50.85841068267124,4.317944491858994 50.85834322179831,4.317964075375241 50.85827470436422,4.317975865545138 50.858205479514254,4.317979802288686 50.85813589999999))"
4,"POLYGON((4.292079156927446 50.871854199999994,4.292067462886613 50.871628775817705,4.29203243083979 50.871404315853134,4.29197421079958 50.87118178129915,4.291893052073133 50.87096212511725,4.291789302194577 50.870746287956216,4.29166340543682 50.870535194123306,4.291515900909104 50.87032974762522,4.291347420248464 50.87013082829577,4.291158684914954 50.869939288027,4.290950503102248 50.8697559471196,4.290723766276828 50.86958159076876,4.290479445360591 50.8694169657,4.290218586573206 50.86926277696982,4.28994230695205 50.86911968494472,4.289651789568877 50.868988302471614,4.289348278463724 50.86886919225164,4.289033073317735 50.868762864428966,4.288707523887739 50.86866977440454,4.288373024226374 50.868590320884515,4.288031006712544 50.868524844171574,4.287682935917749 50.86847362470646,4.287330302334571 50.86843688186607,4.286974615994149 50.86841477302327,4.2866174 50.86840739287234,4.28626018400585 50.86841477302327,4.285904497665429 50.86843688186607,4.285551864082251 50.86847362470646,4.285203793287455 50.868524844171574,4.284861775773625 50.868590320884515,4.284527276112261 50.86866977440454,4.284201726682265 50.868762864428966,4.283886521536276 50.86886919225164,4.283583010431122 50.868988302471614,4.28329249304795 50.86911968494472,4.283016213426794 50.86926277696982,4.282755354639409 50.8694169657,4.282511033723171 50.86958159076876,4.282284296897752 50.8697559471196,4.282076115085045 50.869939288027,4.281887379751535 50.87013082829577,4.281718899090896 50.87032974762522,4.28157139456318 50.870535194123306,4.281445497805422 50.870746287956216,4.281341747926866 50.87096212511725,4.281260589200419 50.87118178129915,4.28120236916021 50.871404315853134,4.281167337113387 50.871628775817705,4.281155643072554 50.871854199999994,4.281167337113387 50.87207962309205,4.28120236916021 50.87230407980455,4.281260589200419 50.872526609000296,4.281341747926866 50.872746257809446,4.281445497805422 50.87296208570938,4.28157139456318 50.87317316855131,4.281718899090896 50.87337860251659,4.281887379751535 50.87357750798582,4.282076115085045 50.873769033304136,4.282284296897752 50.873952358426656,4.282511033723171 50.87412669842826,4.282755354639409 50.874291306863185,4.283016213426794 50.87444547895952,4.28329249304795 50.87458855463538,4.283583010431122 50.87471992132361,4.283886521536276 50.87483901659313,4.284201726682265 50.87494533055561,4.284527276112261 50.875038408047224,4.284861775773625 50.87511785057625,4.285203793287455 50.8751833180281,4.285551864082251 50.87523453012046,4.285904497665429 50.875271267602606,4.28626018400585 50.87529337319335,4.2866174 50.87530075225403,4.286974615994149 50.87529337319335,4.287330302334571 50.875271267602606,4.287682935917749 50.87523453012046,4.288031006712544 50.8751833180281,4.288373024226374 50.87511785057625,4.288707523887739 50.875038408047224,4.289033073317735 50.87494533055561,4.289348278463724 50.87483901659313,4.289651789568877 50.87471992132361,4.28994230695205 50.87458855463538,4.290218586573206 50.87444547895952,4.290479445360591 50.874291306863185,4.290723766276828 50.87412669842826,4.290950503102248 50.873952358426656,4.291158684914954 50.873769033304136,4.291347420248464 50.87357750798582,4.291515900909104 50.87337860251659,4.29166340543682 50.87317316855131,4.291789302194577 50.87296208570938,4.291893052073133 50.872746257809446,4.29197421079958 50.872526609000296,4.29203243083979 50.87230407980455,4.292067462886613 50.87207962309205,4.292079156927446 50.871854199999994))"
5,"POLYGON((4.334583884358573 50.83904230000001,4.334529093620215 50.838779483043346,4.334368455303412 50.838534575295625,4.334112916643988 50.838324267219136,4.333779892179287 50.83816289151358,4.333392076976225 50.83806144621849,4.332975899999999 50.83802684506707,4.332559723023773 50.83806144621849,4.332171907820713 50.83816289151358,4.33183888335601 50.838324267219136,4.331583344696586 50.838534575295625,4.331422706379784 50.838779483043346,4.331367915641425 50.83904230000001,4.331422706379784 50.83930511547648,4.331583344696586 50.839550019180216,4.33183888335601 50.83976032173255,4.332171907820713 50.83992169191393,4.332559723023773 50.84002313316506,4.332975899999999 50.84005773283628,4.333392076976225 50.84002313316506,4.333779892179287 50.83992169191393,4.334112916643988 50.83976032173255,4.334368455303412 50.839550019180216,4.334529093620215 50.83930511547648,4.334583884358573 50.83904230000001))"
6,"POLYGON((4.423918370771307 50.8119924,4.423890872553509 50.81155016905767,4.423808547435772 50.811110660467904,4.423671902979821 50.810676584062264,4.423481781644169 50.81025061625459,4.423239355590068 50.809835383535415,4.42294611945476 50.80943344627232,4.42260388113653 50.80904728291674,4.422214750648413 50.80867927471406,4.421781127109269 50.808331691012235,4.42130568395241 50.80800667525927,4.420791352443001 50.80770623177634,4.420241303605829 50.807432213388424,4.419658928674885 50.8071863099889,4.419047818185278 50.806970038109,4.418411739836389 50.80678473155673,4.417754615262759 50.80663153318311,4.417080495855901 50.80651138782691,4.416393537786122 50.80642503648156,4.415697976378364 50.80637301172028,4.4149981 50.806355634408,4.414298223621636 50.80637301172028,4.413602662213877 50.80642503648156,4.412915704144098 50.80651138782691,4.41224158473724 50.80663153318311,4.41158446016361 50.80678473155673,4.410948381814722 50.806970038109,4.410337271325114 50.8071863099889,4.40975489639417 50.807432213388424,4.409204847556998 50.80770623177634,4.408690516047589 50.80800667525927,4.40821507289073 50.808331691012235,4.407781449351586 50.80867927471406,4.40739231886347 50.80904728291674,4.407050080545239 50.80943344627232,4.406756844409931 50.809835383535415,4.40651441835583 50.81025061625459,4.406324297020178 50.810676584062264,4.406187652564228 50.811110660467904,4.406105327446491 50.81155016905767,4.406077829228693 50.8119924,4.406105327446491 50.812434626755454,4.406187652564228 50.81287412288767,4.406324297020178 50.81330817887185,4.40651441835583 50.813734118796994,4.406756844409931 50.814149316859115,4.407050080545239 50.814551213544014,4.40739231886347 50.814937331399435,4.407781449351586 50.81530529030034,4.40821507289073 50.81565282211275,4.408690516047589 50.815977784666366,4.409204847556998 50.816278174949936,4.40975489639417 50.816552141448454,4.410337271325114 50.81679799554621,4.410948381814722 50.81701422192595,4.41158446016361 50.81719948790002,4.41224158473724 50.817352651616595,4.412915704144098 50.81747276909025,4.413602662213877 50.817559100014144,4.414298223621636 50.81761111231787,4.4149981 50.81762848544327,4.415697976378364 50.81761111231787,4.416393537786122 50.817559100014144,4.417080495855901 50.81747276909025,4.417754615262759 50.817352651616595,4.418411739836389 50.81719948790002,4.419047818185278 50.81701422192595,4.419658928674885 50.81679799554621,4.420241303605829 50.816552141448454,4.420791352443001 50.816278174949936,4.42130568395241 50.815977784666366,4.421781127109269 50.81565282211275,4.422214750648413 50.81530529030034,4.42260388113653 50.814937331399435,4.42294611945476 50.814551213544014,4.423239355590068 50.814149316859115,4.423481781644169 50.813734118796994,4.423671902979821 50.81330817887185,4.423808547435772 50.81287412288767,4.423890872553509 50.812434626755454,4.423918370771307 50.8119924))"
7,"POLYGON((4.44031010601763 50.85534099999999,4.440307845105396 50.855310128614605,4.440301081658002 50.85527952059283,4.440289873378792 50.85524943707228,4.440274315892857 50.85522013471619,4.44025454193118 50.855191863523665,4.440230720198229 50.855164864696604,4.440203053932632 50.85513936858191,4.44017177917321 50.85511559270606,4.440137162745184 50.85509373991925,4.440099499983713 50.85507399666455,4.4400591122142 50.85505653138724,4.44001634401085 50.85504149309755,4.439971560256898 50.855029010099244,4.43992514303154 50.855019188894964,4.43987748835018 50.85501211327748,4.439829002785752 50.85500784361471,4.4397801 50.855006416334675,4.439731197214248 50.85500784361471,4.43968271164982 50.85501211327748,4.439635056968459 50.855019188894964,4.439588639743102 50.855029010099244,4.43954385598915 50.85504149309755,4.439501087785801 50.85505653138724,4.439460700016286 50.85507399666455,4.439423037254816 50.85509373991925,4.43938842082679 50.85511559270606,4.439357146067368 50.85513936858191,4.439329479801771 50.855164864696604,4.43930565806882 50.855191863523665,4.439285884107142 50.85522013471619,4.439270326621207 50.85524943707228,4.439259118341998 50.85527952059283,4.439252354894603 50.855310128614605,4.43925009398237 50.85534099999999,4.439252354894603 50.855371871364945,4.439259118341998 50.85540247932611,4.439270326621207 50.85543256274795,4.439285884107142 50.855461864970565,4.43930565806882 50.855490135999425,4.439329479801771 50.85551713463818,4.439357146067368 50.85554263054635,4.43938842082679 50.85556640620449,4.439423037254816 50.85558825876983,4.439460700016286 50.85560800180682,4.439501087785801 50.85562546687761,4.43954385598915 50.85564050497901,4.439588639743102 50.855652987813635,4.439635056968458 50.855662808884446,4.43968271164982 50.85566988440321,4.439731197214248 50.85567415400538,4.4397801 50.85567558126496,4.439829002785752 50.85567415400538,4.43987748835018 50.85566988440321,4.43992514303154 50.855662808884446,4.439971560256898 50.855652987813635,4.44001634401085 50.85564050497901,4.4400591122142 50.85562546687761,4.440099499983713 50.85560800180682,4.440137162745184 50.85558825876983,4.44017177917321 50.85556640620449,4.440203053932632 50.85554263054635,4.440230720198229 50.85551713463818,4.44025454193118 50.855490135999425,4.440274315892857 50.855461864970565,4.440289873378792 50.85543256274795,4.440301081658002 50.85540247932611,4.440307845105396 50.855371871364945,4.44031010601763 50.85534099999999))"
8,"POLYGON((4.456238438159942 50.910697,4.456211050710393 50.91025748185306,4.456129057214479 50.909820669369694,4.455992963189368 50.909389255758065,4.455803607699983 50.90896590101335,4.45556215818588 50.90855321551342,4.455270103263605 50.908153743918646,4.454929243548871 50.907769949475465,4.454541680555168 50.90740419882048,4.454109803737229 50.907058747379146,4.45363627575925 50.90673572544917,4.45312401607868 50.906437125054836,4.452576182946794 50.906164787653594,4.451996153937022 50.90592039277077,4.451387505121088 50.90570544763314,4.450753989021338 50.9055212778652,4.450099511475196 50.90536901930605,4.449428107554367 50.90524961099741,4.448743916687287 50.90516378938628,4.44805115713817 50.90511208377826,4.4473541 50.90509481306961,4.446657042861831 50.90511208377826,4.445964283312713 50.90516378938628,4.445280092445633 50.90524961099741,4.444608688524804 50.90536901930605,4.443954210978661 50.9055212778652,4.443320694878913 50.90570544763314,4.442712046062979 50.90592039277077,4.442132017053207 50.906164787653594,4.441584183921321 50.906437125054836,4.441071924240752 50.90673572544917,4.440598396262772 50.907058747379146,4.440166519444832 50.90740419882048,4.439778956451129 50.907769949475465,4.439438096736396 50.908153743918646,4.439146041814121 50.90855321551342,4.438904592300017 50.90896590101335,4.438715236810631 50.909389255758065,4.438579142785521 50.909820669369694,4.438497149289607 50.91025748185306,4.438469761840058 50.910697,4.438497149289607 50.91113651399669,4.438579142785521 50.9115733141315,4.438715236810631 50.91200470750034,4.438904592300017 50.91242803460646,4.439146041814121 50.91284068575255,4.439438096736396 50.91324011712416,4.439778956451129 50.913623866465265,4.440166519444832 50.913989568249825,4.440598396262772 50.91433496825574,4.441071924240752 50.91465793745182,4.441584183921321 50.91495648511223,4.442132017053207 50.915228771078056,4.442712046062979 50.91547311709046,4.443320694878913 50.91568801712601,4.443954210978661 50.91587214667077,4.444608688524804 50.91602437087608,4.445280092445633 50.916143751546144,4.445964283312713 50.91622955291448,4.446657042861831 50.916281246173945,4.4473541 50.916298512732354,4.44805115713817 50.916281246173945,4.448743916687287 50.91622955291448,4.449428107554367 50.916143751546144,4.450099511475196 50.91602437087608,4.450753989021338 50.91587214667077,4.451387505121088 50.91568801712601,4.451996153937022 50.91547311709046,4.452576182946794 50.915228771078056,4.45312401607868 50.91495648511223,4.45363627575925 50.91465793745182,4.454109803737229 50.91433496825574,4.454541680555168 50.913989568249825,4.454929243548871 50.913623866465265,4.455270103263605 50.91324011712416,4.45556215818588 50.91284068575255,4.455803607699983 50.91242803460646,4.455992963189368 50.91200470750034,4.456129057214479 50.9115733141315,4.456211050710393 50.91113651399669,4.456238438159942 50.910697))"
9,"POLYGON((4.4925415716087 50.79126409999999,4.492530599090822 50.79104338445024,4.492497724840703 50.79082353892791,4.49244307859799 50.79060543108124,4.492366876026436 50.79038992171257,4.49226941786278 50.790177861380684,4.492151088729867 50.78997008704344,4.492012355618726 50.78976741875375,4.491853766045566 50.7895706564223,4.491675945890979 50.78938057665949,4.491479596929877 50.7891979297093,4.491265494061906 50.78902343648706,4.491034482253272 50.7888577857328,4.490787473202045 50.788701631291744,4.4905254417401 50.788555589532265,4.49024942198591 50.78842023691181,4.489960503263341 50.78829610770038,4.489659825802597 50.78818369187051,4.489348576240249 50.788083433162086,4.489027982936124 50.787995727329836,4.488699311125527 50.787920920580135,4.48836385792594 50.7878593082036,4.488022947217886 50.787811133408724,4.487677924420184 50.78777658636116,4.48733015118019 50.787755803432674,4.486981 50.78774886666237,4.48663184881981 50.787755803432674,4.486284075579816 50.78777658636116,4.485939052782114 50.787811133408724,4.48559814207406 50.7878593082036,4.485262688874473 50.787920920580135,4.484934017063876 50.787995727329836,4.484613423759751 50.788083433162086,4.484302174197404 50.78818369187051,4.484001496736659 50.78829610770038,4.48371257801409 50.78842023691181,4.4834365582599 50.788555589532265,4.483174526797956 50.788701631291744,4.482927517746728 50.7888577857328,4.482696505938094 50.78902343648706,4.482482403070122 50.7891979297093,4.482286054109021 50.78938057665949,4.482108233954434 50.7895706564223,4.481949644381274 50.78976741875375,4.481810911270133 50.78997008704344,4.48169258213722 50.790177861380684,4.481595123973563 50.79038992171257,4.48151892140201 50.79060543108124,4.481464275159297 50.79082353892791,4.481431400909178 50.79104338445024,4.4814204283913 50.79126409999999,4.481431400909178 50.79148481450757,4.481464275159297 50.79170465691982,4.48151892140201 50.79192275963756,4.481595123973563 50.792138261939314,4.48169258213722 50.792350313377746,4.481810911270133 50.79255807713529,4.481949644381274 50.79276073332585,4.482108233954434 50.79295748222957,4.482286054109021 50.79314754744779,4.482482403070122 50.79333017896592,4.482696505938094 50.793504656112006,4.482927517746728 50.79367029039953,4.483174526797956 50.79382642824298,4.4834365582599 50.79397245353574,4.48371257801409 50.79410779008004,4.484001496736659 50.794231903859405,4.484302174197404 50.794344305144705,4.484613423759751 50.794444550425375,4.484934017063876 50.7945322441585,4.485262688874473 50.794607040328486,4.48559814207406 50.79466864381158,4.485939052782114 50.79471681153956,4.486284075579816 50.794751353458174,4.48663184881981 50.79477213327659,4.486981 50.79477906900472,4.48733015118019 50.79477213327659,4.487677924420184 50.794751353458174,4.488022947217886 50.79471681153956,4.48836385792594 50.79466864381158,4.488699311125527 50.794607040328486,4.489027982936124 50.7945322441585,4.489348576240249 50.794444550425375,4.489659825802597 50.794344305144705,4.489960503263341 50.794231903859405,4.49024942198591 50.79410779008004,4.4905254417401 50.79397245353574,4.490787473202045 50.79382642824298,4.491034482253272 50.79367029039953,4.491265494061906 50.793504656112006,4.491479596929877 50.79333017896592,4.491675945890979 50.79314754744779,4.491853766045566 50.79295748222957,4.492012355618726 50.79276073332585,4.492151088729867 50.79255807713529,4.49226941786278 50.792350313377746,4.492366876026436 50.792138261939314,4.49244307859799 50.79192275963756,4.492497724840703 50.79170465691982,4.492530599090822 50.79148481450757,4.4925415716087 50.79126409999999))"
10,"POLYGON((4.28948996365969 50.85755149999999,4.289482824454168 50.857476996504225,4.289461510943297 50.85740357932075,4.289426333926057 50.85733231904506,4.289377806362573 50.857264254824635,4.289316635893995 50.85720037920516,4.289243714523496 50.857141623656055,4.289160105608866 50.85708884498638,4.28906702835635 50.857042812849514,4.288965840041881 50.8570041985185,4.28885801621894 50.856973565096304,4.288745129201665 50.85695135930325,4.288628825136965 50.85693790496205,4.288510799999999 50.8569333982749,4.288392774863034 50.85693790496205,4.288276470798334 50.85695135930325,4.288163583781059 50.856973565096304,4.288055759958119 50.8570041985185,4.28795457164365 50.857042812849514,4.287861494391134 50.85708884498638,4.287777885476503 50.857141623656055,4.287704964106005 50.85720037920516,4.287643793637426 50.857264254824635,4.287595266073942 50.85733231904506,4.287560089056703 50.85740357932075,4.287538775545832 50.857476996504225,4.28753163634031 50.85755149999999,4.287538775545832 50.85762600337673,4.287560089056703 50.857699420210025,4.287595266073942 50.85777067992477,4.287643793637426 50.857838743406035,4.287704964106005 50.85790261815112,4.287777885476503 50.85796137274142,4.287861494391134 50.85801415042361,4.28795457164365 50.85806018160168,4.288055759958119 50.858098795058304,4.288163583781059 50.85812942774136,4.288276470798334 50.858151632973446,4.288392774863034 50.858165086964476,4.288510799999999 50.858169593532594,4.288628825136965 50.858165086964476,4.288745129201665 50.858151632973446,4.28885801621894 50.85812942774136,4.288965840041881 50.858098795058304,4.28906702835635 50.85806018160168,4.289160105608866 50.85801415042361,4.289243714523496 50.85796137274142,4.289316635893995 50.85790261815112,4.289377806362573 50.857838743406035,4.289426333926057 50.85777067992477,4.289461510943297 50.857699420210025,4.289482824454168 50.85762600337673,4.28948996365969 50.85755149999999))"
