vehid,licence,type,model
1,B-EF 1,passenger,Sachsenring
2,B-OU 2,passenger,Multicar
3,B-UM 3,passenger,Acabion
4,B-CK 4,passenger,Multicar
5,B-QZ 5,passenger,Acabion
6,B-ZY 6,passenger,Acabion
7,B-ZN 7,passenger,Volkswagen
8,B-DJ 8,passenger,Volkswagen
9,B-OM 9,passenger,Mercedes-Benz
10,B-DD 10,passenger,Porsche
11,B-NU 11,passenger,Audi
12,B-IG 12,passenger,BMW
13,B-OT 13,passenger,Mercedes-Benz
14,B-KH 14,passenger,Multicar
15,B-PZ 15,bus,Wartburg
16,B-YT 16,passenger,Sachsenring
17,B-CJ 17,truck,Opel
18,B-YY 18,passenger,Borgward
19,B-WZ 19,passenger,Opel
20,B-DB 20,passenger,Multicar
21,B-PI 21,passenger,Maybach
22,B-TK 22,passenger,Porsche
23,B-LW 23,passenger,Sachsenring
24,B-MF 24,truck,Multicar
25,B-TR 25,passenger,Acabion
26,B-DB 26,passenger,Porsche
27,B-IZ 27,bus,Maybach
28,B-EP 28,truck,Borgward
29,B-FT 29,passenger,Wartburg
30,B-ZT 30,passenger,Multicar
31,B-LZ 31,truck,Mercedes-Benz
32,B-ZE 32,passenger,Porsche
33,B-ND 33,passenger,Sachsenring
34,B-QB 34,passenger,BMW
35,B-KO 35,passenger,Mercedes-Benz
36,B-OE 36,passenger,BMW
37,B-WH 37,passenger,Borgward
38,B-QF 38,truck,Maybach
39,B-IS 39,passenger,Mercedes-Benz
40,B-LG 40,passenger,Mercedes-Benz
41,B-MU 41,passenger,Borgward
42,B-DG 42,passenger,Multicar
43,B-OC 43,passenger,Audi
44,B-BH 44,truck,Borgward
45,B-XL 45,passenger,Wartburg
46,B-OV 46,passenger,Wartburg
47,B-WC 47,passenger,Audi
48,B-OU 48,passenger,Wartburg
49,B-LY 49,passenger,Volkswagen
50,B-BY 50,truck,Audi
51,B-CR 51,truck,Mercedes-Benz
52,B-HX 52,passenger,BMW
53,B-UG 53,passenger,Borgward
54,B-TY 54,truck,Multicar
55,B-WH 55,passenger,Wartburg
56,B-FF 56,passenger,Sachsenring
57,B-QI 57,passenger,Borgward
58,B-QW 58,passenger,Wartburg
59,B-QV 59,passenger,Mercedes-Benz
60,B-KI 60,passenger,Borgward
61,B-LL 61,passenger,Multicar
62,B-EM 62,passenger,Opel
63,B-RJ 63,passenger,Opel
64,B-OG 64,passenger,Maybach
65,B-MG 65,passenger,Audi
66,B-GI 66,passenger,Audi
67,B-XD 67,bus,Acabion
68,B-TQ 68,passenger,Sachsenring
69,B-RO 69,passenger,Mercedes-Benz
70,B-XU 70,passenger,Mercedes-Benz
71,B-LE 71,passenger,Acabion
72,B-QO 72,passenger,Audi
73,B-IY 73,passenger,Acabion
74,B-IX 74,passenger,Acabion
75,B-CW 75,passenger,Multicar
76,B-JM 76,passenger,BMW
77,B-NP 77,bus,Multicar
78,B-ZL 78,truck,Sachsenring
79,B-UN 79,passenger,Porsche
80,B-HW 80,passenger,Audi
81,B-HQ 81,passenger,Audi
82,B-VM 82,passenger,Maybach
83,B-WE 83,passenger,Borgward
84,B-DP 84,passenger,Sachsenring
85,B-XQ 85,passenger,Mercedes-Benz
86,B-WG 86,passenger,Acabion
87,B-NO 87,truck,Acabion
88,B-ED 88,passenger,Mercedes-Benz
89,B-EU 89,passenger,Sachsenring
90,B-KM 90,passenger,BMW
91,B-WE 91,passenger,Borgward
92,B-RN 92,passenger,Opel
93,B-KD 93,passenger,Multicar
94,B-LC 94,passenger,Wartburg
95,B-MW 95,passenger,Maybach
96,B-UX 96,passenger,Volkswagen
97,B-LT 97,passenger,Maybach
98,B-[O 98,passenger,Volkswagen
99,B-[E 99,passenger,Porsche
100,B-KF 100,passenger,Volkswagen
101,B-MD 101,passenger,Multicar
102,B-PM 102,passenger,BMW
103,B-VQ 103,passenger,Wartburg
104,B-WI 104,truck,Borgward
105,B-ME 105,passenger,Multicar
106,B-XC 106,passenger,Maybach
107,B-[Y 107,passenger,Acabion
108,B-CR 108,passenger,Sachsenring
109,B-GK 109,passenger,Volkswagen
110,B-VS 110,passenger,Borgward
111,B-JU 111,passenger,Audi
112,B-[D 112,passenger,Porsche
113,B-XN 113,passenger,Sachsenring
114,B-FF 114,passenger,Volkswagen
115,B-BJ 115,passenger,Wartburg
116,B-IQ 116,passenger,Wartburg
117,B-JN 117,passenger,Volkswagen
118,B-RW 118,passenger,Porsche
119,B-JM 119,passenger,Porsche
120,B-YR 120,passenger,Porsche
121,B-IS 121,passenger,Volkswagen
122,B-TK 122,passenger,Mercedes-Benz
123,B-VD 123,passenger,Acabion
124,B-YF 124,passenger,Audi
125,B-BP 125,passenger,Mercedes-Benz
126,B-TD 126,passenger,Porsche
127,B-[J 127,passenger,Maybach
128,B-PL 128,passenger,Acabion
129,B-UO 129,passenger,Opel
130,B-ZS 130,passenger,Audi
131,B-NJ 131,passenger,Audi
132,B-NV 132,passenger,Porsche
133,B-FF 133,bus,Opel
134,B-ZL 134,passenger,Maybach
135,B-TN 135,passenger,Opel
136,B-SU 136,passenger,Sachsenring
137,B-WV 137,passenger,BMW
138,B-JP 138,passenger,Maybach
139,B-JV 139,passenger,Maybach
140,B-ZQ 140,passenger,Acabion
141,B-OD 141,passenger,Multicar
